about | prep., adv. [อะเบาท์] | เกี่ยวกับ
Vice Grip Pliers | (n.) [ไวซ์กริปพลายเออร์ส] | คีมล็อค
Welding Rod | (n.) [เวลดิงรอด] | ลวดเชื่อม
Wire Brush | (n.) [ไวร์บรัช] | แปรงลวด
Woodworking Clamp | (n.) [วูดเวิร์คกิ้งคลแอมป์] | แคลมป์ไม้
Angle Finder Tool | (n.) [แองเกิลฟายเดอร์ทูล] | เครื่องมือวัดมุม
Auto Socket Wrench | (n.) [ออโต้ซอคเก็ตเรนช์] | ประแจบ็อกซ์อัตโนมัติ
Bearing Installer | (n.) [แบร์ริ่งอินสตอลเลอร์] | เครื่องติดตั้งแบริ่ง
Bench Vise | (n.) [เบนช์ไวซ์] | ปากกาจับโต๊ะ
Bolt Wrench | (n.) [โบลท์เรนช์] | ประแจสลักเกลียว
Cable Splicer | (n.) [เคเบิลสไพลเซอร์] | เครื่องเชื่อมสายไฟ
Clamping System | (n.) [คลัมปิงซิสเต็ม] | ระบบยึด
Combination Tool | (n.) [คอมบิเนชันทูล] | เครื่องมือผสม
Electric Impact Wrench | (n.) [อิเล็กทริคอิมแพ็คเรนช์] | ประแจบิดไฟฟ้า
File Set | (n.) [ไฟล์เซ็ต] | ชุดหินเจียร
Gear Puller | (n.) [เกียร์พูลเลอร์] | เครื่องดึงเกียร์
Hand Drill | (n.) [แฮนด์ดริลล์] | สว่านมือ
Hydraulic Press | (n.) [ไฮดรอลิกเพรส] | เครื่องกดไฮดรอลิก
Impact Socket Set | (n.) [อิมแพ็คซอคเก็ตเซ็ต] | ชุดบ็อกซ์ทนแรง
Laser Level Tool | (n.) [เลเซอร์เลเวลทูล] | เครื่องมือระดับเลเซอร์
Magnetic Chuck | (n.) [แมกเนติกชัค] | ชัคแม่เหล็ก
Metalworking Hammer | (n.) [เมทัลเวิร์คกิ้งแฮมเมอร์] | ค้อนโลหะ
Pipe Bending Machine | (n.) [พิปเบนดิ้งแมชชีน] | เครื่องดัดท่อ
Power Grinder | (n.) [พาวเวอร์กรินเดอร์] | เครื่องเจียรไฟฟ้า
Precision Screwdriver Set | (n.) [พรีซิชั่นสครูว์ไดรเวอร์เซ็ต] | ชุดไขควงแม่นยำ
Reciprocating Cutter | (n.) [รีซิปรอเคติงคัทเตอร์] | เครื่องตัดสว่าน
Rotary Hammer | (n.) [โรทารีแฮมเมอร์] | ค้อนโรตารี่
Safety Cutter | (n.) [เซฟตี้คัทเตอร์] | เครื่องตัดปลอดภัย
Sheet Metal Shears | (n.) [ชีทเมทัลเชียร์ส] | กรรไกรตัดแผ่นโลหะ
Socket Drive | (n.) [ซอคเก็ตไดรฟ์] | ระบบขับเคลื่อนประแจบ็อกซ์
Steel File | (n.) [สตีลไฟล์] | หินเจียรเหล็ก
Tool Holder | (n.) [ทูลโฮลเดอร์] | ที่เก็บเครื่องมือ
Torque Wrench Set | (n.) [ทอร์คเรนช์เซ็ต] | ชุดประแจแรงบิด
Utility Tool Set | (n.) [ยูทิลิตี้ทูลเซ็ต] | ชุดเครื่องมืออเนกประสงค์
Wrench Extension | (n.) [เรนช์เอ็กซ์เทนชั่น] | ขยายประแจ
Agroforestry | (n.) [แอกโกรฟอเรสทรี] | การเกษตรในป่า
Biodiversity | (n.) [ไบโอไดเวอร์ซิตี้] | ความหลากหลายทางชีวภาพ
Crop Yield | (n.) [ครอปยีลด์] | ผลผลิตพืช
Cover Crop | (n.) [คัฟเวอร์ครอป] | พืชคลุมดิน
Dairy Farm | (n.) [แดรี่ฟาร์ม] | ฟาร์มโคนม
Erosion | (n.) [อิโรชั่น] | การกัดเซาะ
Fungicide | (n.) [ฟังจิเซด] | ยาฆ่าเชื้อรา
Green Manure | (n.) [กรีนแมนนิวเออร์] | ปุ๋ยพืชสด
Hybrid | (n.) [ไฮบริด] | พันธุ์ผสม
Land Use | (n.) [แลนด์ยูส] | การใช้ที่ดิน
Mechanical | (adj.) [เมคานิคัล] | เครื่องจักร
Organic | (adj.) [ออร์แกนิก] | อินทรีย์
Pest Control | (n.) [เพสท์คอนโทรล] | การควบคุมศัตรูพืช
Soil Moisture | (n.) [ซอยล์มอยซ์เจอร์] | ความชื้นในดิน
Stubble | (n.) [สตั๊บเบิล] | ตอซัง
Subsoil | (n.) [ซับซอยล์] | ดินใต้ผิว
Tillage | (n.) [ทิลเลจ] | การเตรียมดิน
Varietal | (adj.) [เวอไรเอทัล] | เกี่ยวกับพันธุ์
Watershed | (n.) [วอเทอร์เชด] | ลุ่มน้ำ
Xeriscaping | (n.) [เซอริสเคปปิ้ง] | การออกแบบสวนเพื่อประหยัดน้ำ
Yield | (n.) [ยีลด์] | ผลผลิต
Agronomy | (n.) [แอกโกรโนมี] | วิทยาการเกษตร
Cover Crops | (n.) [คัฟเวอร์ครอปส์] | พืชคลุมดิน
Droughtresistant | (adj.) [ดรอว์ท-รีซิสแทนท์] | ทนแล้ง
Grain Storage | (n.) [เกรนสโตเรจ] | การเก็บรักษาข้าว
Hydroponics | (n.) [ไฮโดรโพนิกส์] | การปลูกพืชในน้ำ
Land Preparation | (n.) [แลนด์พรีพาเรชัน] | การเตรียมที่ดิน
Mulching | (n.) [มัลชิ่ง] | การใช้วัสดุคลุมดิน
Nursery Stock | (n.) [เนอเซอรีสต็อก] | ต้นกล้า
Organic Fertilizer | (n.) [ออร์แกนิกเฟอทิลไลเซอร์] | ปุ๋ยอินทรีย์
Pest Management | (n.) [เพสท์แมเนจเมนต์] | การจัดการศัตรูพืช
Pollination | (n.) [พอลินเนชัน] | การผสมเกสร
Soil Conservation | (n.) [ซอยล์คอนเซอร์เวชัน] | การอนุรักษ์ดิน
Sustainable | (adj.) [ซัสเทนเนเบิล] | ยั่งยืน
Watering | (n.) [วอเตอร์ริ่ง] | การรดน้ำ
Weed Control | (n.) [วีดคอนโทรล] | การควบคุมวัชพืช
Acidity | (n.) [อะซิดิตี้] | ความเป็นกรด
Biological | (adj.) [ไบโอโลจิคัล] | เกี่ยวกับชีววิทยา
Crop Rotation | (n.) [ครอปโรเทชั่น] | การหมุนเวียนพืช
Germination | (n.) [เจอร์มิเนชัน] | การงอก
Harvest Time | (n.) [ฮาร์เวสต์ไทม์] | เวลาการเก็บเกี่ยว
Inoculate | (v.) [อินอคคิวเลท] | การฉีดวัคซีน
Overseeding | (n.) [โอเวอร์ซีดดิ้ง] | การหว่านเมล็ดเพิ่มเติม
Phosphorus | (n.) [ฟอสฟอรัส] | ฟอสฟอรัส
Potting Soil | (n.) [พอตติ้งซอยล์] | ดินปลูกในกระถาง
Ridge Tillage | (n.) [ริจทิลเลจ] | การเตรียมดินแบบคันนา
Silt | (n.) [ซิลต์] | ตะกอนดิน
Soil Structure | (n.) [ซอยล์สตรัคเจอร์] | โครงสร้างดิน
Tarp | (n.) [ทาร์พ] | ผ้าคลุม
Varieties | (n.) [เวอไรเอทิส] | พันธุ์ต่าง ๆ
Watering Can | (n.) [วอเตอร์ริ่งแคน] | รดน้ำ
Weed Seeds | (n.) [วีดซีดส์] | เมล็ดวัชพืช
Aerate | (v.) [แอเรท] | ออกซิเจน
Biodynamic | (adj.) [ไบโอไดนามิก] | การเกษตรชีวภาพ
Cultivar | (n.) [คัลทิเวอร์] | พันธุ์พืช
Grafting | (n.) [กราฟติ้ง] | การติดกิ่ง
Hydroponics | (n.) [ไฮโดรโพนิกส์] | การปลูกพืชในน้ำ
Notill | (adj.) [โน-ทิล] | การปลูกแบบไม่ไถ
Pollinator | (n.) [พอลินเนเตอร์] | แมลงผสมเกสร
Pruning Shears | (n.) [พรูนิงเชียร์ส] | กรรไกรตัดแต่ง
Rotational Grazing | (n.) [โรเทชันแนลเกรซซิ่ง] | การเลี้ยงสัตว์หมุนเวียน
Sod Farm | (n.) [ซอดฟาร์ม] | ฟาร์มหญ้า
Soil pH | (n.) [ซอยล์พีเอช] | ความเป็นกรดด่างของดิน
Sprout | (v.) [สเปราต] | การงอก
Tillage System | (n.) [ทิลเลจซิสเต็ม] | ระบบการเตรียมดิน
Vegetable Garden | (n.) [เวจิตาเบิลการ์เดน] | สวนผัก
Water Management | (n.) [วอเตอร์แมเนจเมนต์] | การจัดการน้ำ
Windbreak | (n.) [วินด์เบรค] | พืชกันลม
Yield Monitor | (n.) [ยีลด์มอนิเตอร์] | เครื่องตรวจสอบผลผลิต
Zero Tillage | (n.) [ซีโรทิลเลจ] | การปลูกแบบไม่ไถดิน
Biocontrol | (n.) [ไบโอคอนโทรล] | การควบคุมทางชีวภาพ
Composting | (n.) [คอมโพสติ้ง] | การทำปุ๋ยหมัก
Ecosystem | (n.) [อีโคซิสเต็ม] | ระบบนิเวศ
Forage | (n.) [ฟอเรจ] | อาหารสัตว์
Horticulture | (n.) [ฮอร์ติคัลเจอร์] | การปลูกพืชสวน
Manure | (n.) [มานูร์] | ปุ๋ยคอก
Pesticide | (n.) [เพสติไซด์] | ยาฆ่าแมลง
Ruminant | (n.) [รูมินันท์] | สัตว์เคี้ยวเอื้อง
Soil Erosion | (n.) [ซอยล์อิโรชั่น] | การกัดเซาะดิน
Tarpaper | (n.) [ทาร์เปเปอร์] | กระดาษกันน้ำ
Uncompacted Soil | (n.) [อันคอมแพ็คเต็ดซอยล์] | ดินที่ไม่แน่น
Vermiculture | (n.) [เวอร์มิคัลเจอร์] | การทำปุ๋ยจากหนอน
Water Table | (n.) [วอเตอร์เทเบิล] | ระดับน้ำใต้ดิน
Weed Barrier | (n.) [วีดแบร์เรียร์] | แผ่นกั้นวัชพืช
Xenobiotics | (n.) [ซีโนไบโอติกส์] | สารเคมีที่ไม่ใช่สารธรรมชาติ
Yield Per Acre | (n.) [ยีลด์เพอร์แอเคอร์] | ผลผลิตต่อไร่
Biofortification | (n.) [ไบโอฟอร์ทิฟิเคชัน] | การเพิ่มสารอาหารในพืช
Soil Fertility | (n.) [ซอยล์เฟอทิลิตี้] | ความอุดมสมบูรณ์ของดิน
Tillage Equipment | (n.) [ทิลเลจอีควิปเมนต์] | อุปกรณ์เตรียมดิน
Vermicomposting | (n.) [เวอร์มิคอมโพสติ้ง] | การทำปุ๋ยหมักจากหนอน
Water Conservation | (n.) [วอเตอร์คอนเซอร์เวชัน] | การอนุรักษ์น้ำ
Yield Enhancement | (n.) [ยีลด์เอนแฮนซ์เมนต์] | การเพิ่มผลผลิต
Agriculture | (n.) [แอกริคัลเจอร์] | เกษตรศาสตร์
Acre | (n.) [เอเคอร์] | เอเคอร์
Agrochemicals | (n.) [แอกโกรเคมีคอลส์] | สารเคมีเกษตร
Crop | (n.) [ครอป] | พืชผล
Cultivate | (v.) [คัลทิเวท] | ปลูก
Drip Irrigation | (n.) [ดริปอิริเกชัน] | การให้น้ำแบบหยด
Fertilizer | (n.) [เฟอทิลไลเซอร์] | ปุ๋ย
Fodder | (n.) [ฟอดเดอร์] | อาหารสัตว์
Harvest | (n., v.) [ฮาร์เวสต์] | การเก็บเกี่ยว
Horticulture | (n.) [ฮอร์ติคัลเจอร์] | การปลูกพืชสวน
Irrigation | (n.) [อิริเกชัน] | การชลประทาน
Manure | (n.) [แมนนิวเออร์] | ปุ๋ยคอก
Orchard | (n.) [ออร์ชาร์ด] | สวนผลไม้
Pesticide | (n.) [เพสติไซด์] | ยาฆ่าแมลง
Plantation | (n.) [พลานเทชั่น] | สวนปลูก
Plow | (n., v.) [เพลาล์] | พลั่ว
Pruning | (n.) [พรูนิง] | การตัดแต่ง
Sow | (v.) [ซาว] | หว่าน
Soil | (n.) [ซอยล์] | ดิน
Tiller | (n.) [ทิลเลอร์] | เครื่องพรวนดิน
Tractor | (n.) [แทรคเตอร์] | รถแทรกเตอร์
Weed | (n., v.) [วีด] | พืชวัชพืช
Agronomist | (n.) [แอกโกรโนมิสต์] | นักวิชาการเกษตร
Crop Rotation | (n.) [ครอปโรเทชั่น] | การหมุนเวียนพืช
Greenhouse | (n.) [กรีนเฮาส์] | โรงเรือนปลูกพืช
Hydroponics | (n.) [ไฮโดรโปนิกส์] | การปลูกพืชในน้ำ
Landscaping | (n.) [แลนด์สเคปปิ้ง] | การจัดภูมิทัศน์
Mulch | (n.) [มัลช์] | ปุ๋ยหมัก
Organic Farming | (n.) [ออร์แกนิกฟาร์มมิ่ง] | การเกษตรอินทรีย์
Poultry | (n.) [โพลทรี] | การเลี้ยงสัตว์ปีก
Reap | (v.) [รีพ] | เก็บเกี่ยว
Seeder | (n.) [ซีเดอร์] | เครื่องหว่านเมล็ด
Shelter | (n.) [เชลเทอร์] | ที่พักพิง
Soil Erosion | (n.) [ซอยล์อิโรชั่น] | การชะล้างดิน
Tillage | (n.) [ทิลเลจ] | การเตรียมดิน
Vaccination | (n.) [วัคซีนเนชัน] | การฉีดวัคซีน
Vermicompost | (n.) [เวอร์มิคอมโพสต์] | ปุ๋ยหมักจากหนอน
Yard | (n.) [ยาร์ด] | สนาม
Compost | (n.) [คอมโพสต์] | ปุ๋ยหมัก
Drought | (n.) [ดรอว์ท] | ความแห้งแล้ง
Fallow | (adj.) [แฟลโลว์] | ที่ดินที่ปล่อยทิ้งไว้
Grafting | (n.) [กราฟติ้ง] | การตอนกิ่ง
Grain | (n.) [เกรน] | เมล็ดพืช
Grove | (n.) [โกรฟ] | ป่าไม้เล็ก
Irrigate | (v.) [อิริเกท] | ชลประทาน
Kiosk | (n.) [เคียสก์] | ศูนย์บริการ
Legume | (n.) [เลกุ่ม] | พืชตระกูลถั่ว
Nutrient | (n.) [นิวเทรียนต์] | สารอาหาร
Ornamental | (adj.) [ออร์นาเมนทัล] | ที่ตกแต่ง
Pasture | (n.) [แพสเจอร์] | ทุ่งหญ้า
Pesticide | (n.) [เพสติไซด์] | ยาฆ่าแมลง
Seedling | (n.) [ซีดลิง] | กล้าพันธุ์
Silo | (n.) [ไซโล] | ถังเก็บอาหารสัตว์
Sprinkler | (n.) [สปริงเคลอร์] | ระบบรดน้ำ
Trellis | (n.) [เทรลลิส] | โครงไม้เลื้อย
Vineyard | (n.) [วินยาร์ด] | ไร่องุ่น
Woodchip | (n.) [วูดชิป] | ชิปไม้
Aerator | (n.) [แอเรเตอร์] | เครื่องฟอกอากาศ
Bulb | (n.) [บัลบ์] | หัวพืช
Compost Bin | (n.) [คอมโพสต์บิน] | ถังปุ๋ยหมัก
Drill | (n.) [ดริลล์] | เครื่องเจาะ
Fertilize | (v.) [เฟอทิไลซ์] | ใส่ปุ๋ย
Germinate | (v.) [เจอร์มิเนท] | งอก
Hedge | (n.) [เฮดจ์] | พุ่มไม้
Insecticide | (n.) [อินเซ็กทิเซด] | ยาฆ่าแมลง
Moisture | (n.) [มอยซ์เจอร์] | ความชื้น
Nursery | (n.) [เนอเซอรี่] | โรงเรือนเพาะกล้า
Pruner | (n.) [พรูนเนอร์] | เครื่องตัดแต่ง
Rake | (n.) [เรค] | ไร้ก
Soil Test | (n.) [ซอยล์เทสต์] | การทดสอบดิน
Tiller | (n.) [ทิลเลอร์] | เครื่องพรวนดิน
Variety | (n.) [เวอไรตี้] | พันธุ์
Yardstick | (n.) [ยาร์ดสติ๊ก] | ไม้บรรทัด
Aphid | (n.) [แอฟิด] | เพลี้ย
Barn | (n.) [บาร์น] | โรงนา
Chisel | (n.) [ชิเซิล] | มีดพอก
Compost Tea | (n.) [คอมโพสต์ที] | ชาหมัก
Cover Crop | (n.) [คัฟเวอร์ครอป] | พืชคลุมดิน
Field | (n.) [ฟีลด์] | ทุ่งนา
Grove | (n.) [โกรฟ] | ป่าต้นไม้
Harvesting | (n.) [ฮาร์เวสติ้ง] | การเก็บเกี่ยว
Irrigate | (v.) [อิริเกท] | ชลประทาน
Kneehigh | (adj.) [นีไฮ] | สูงถึงเข่า
Mulcher | (n.) [มัลเชอร์] | เครื่องทำปุ๋ยหมัก
Plowshare | (n.) [พลาวแชร์] | ส่วนของพรวนดิน
Quinoa | (n.) [คีนัว] | คีนัว
Rootstock | (n.) [รูทสต็อก] | รากต้นพันธุ์
Scarecrow | (n.) [สแคร์โครว์] | ตุ๊กตากลางทุ่ง
Seeder | (n.) [ซีเดอร์] | เครื่องหว่านเมล็ด
Silage | (n.) [ไซเลจ] | ฟางเลี้ยงสัตว์
Sod | (n.) [ซอด] | หญ้า
Tiller | (n.) [ทิลเลอร์] | เครื่องพรวนดิน
Trellis | (n.) [เทรลลิส] | โครงไม้เลื้อย
Vermicompost | (n.) [เวอร์มิคอมโพสต์] | ปุ๋ยหมักจากหนอน
Weeder | (n.) [วีเดอร์] | เครื่องถอนวัชพืช
Wheelbarrow | (n.) [วีลแบร์โรว์] | รถเข็น
Acorn | (n.) [เอเคิร์น] | ลูกโอ๊ค
Cattle | (n.) [แคทเทิล] | ปศุสัตว์
Clippers | (n.) [คลิปเปอร์ส] | กรรไกรตัด
Cornfield | (n.) [คอร์นฟีลด์] | ทุ่งข้าวโพด
Action Figure | (n.) [แอคชั่นฟิกเกอร์] | ตุ๊กตาแอคชั่น
Board Game | (n.) [บอร์ดเกม] | เกมกระดาน
Building Blocks | (n.) [บิลดิ้งบล็อกส์] | ตัวต่อ
Card Game | (n.) [การ์ดเกม] | เกมการ์ด
Doll | (n.) [ดอลล์] | ตุ๊กตา
Drone | (n.) [โดรน] | โดรน
Educational Toy | (n.) [เอดูเคชันนัลทอย] | ของเล่นเพื่อการศึกษา
Gadget | (n.) [แกดเจ็ต] | อุปกรณ์
Game Console | (n.) [เกมคอนโซล] | เครื่องเล่นเกม
Jigsaw Puzzle | (n.) [จิ๊กซอว์พัซเซิล] | จิ๊กซอว์
Kite | (n.) [ไคท์] | ว่าว
Marble | (n.) [มาร์เบิล] | ลูกแก้ว
Model Kit | (n.) [โมเดลคิท] | ชุดโมเดล
Plush Toy | (n.) [พลัชทอย] | ตุ๊กตาผ้าฝ้าย
Puzzle | (n.) [พัซเซิล] | ปริศนา
Race Car | (n.) [เรซคาร์] | รถแข่ง
Remote Control Car | (n.) [รีโมทคอนโทรลคาร์] | รถควบคุมระยะไกล
Rubik's Cube | (n.) [รูบิคคิวบ์] | รูบิค
Sandcastle Set | (n.) [แซนด์คาสเซิลเซ็ต] | ชุดทำปราสาททราย
Stuffed Animal | (n.) [สตัฟฟ์แอนิมอล] | ตุ๊กตาสัตว์
Toy Boat | (n.) [ทอยโบ๊ท] | เรือของเล่น
Toy Car | (n.) [ทอยคาร์] | รถของเล่น
Toy Gun | (n.) [ทอยกัน] | ปืนของเล่น
Toy Train | (n.) [ทอยเทรน] | รถไฟของเล่น
Train Set | (n.) [เทรนเซ็ต] | ชุดรถไฟ
Wooden Toy | (n.) [วูดเดนทอย] | ของเล่นไม้
YoYo | (n.) [โยโย่] | โยโย่
PlayDoh | (n.) [เพลย์โดห์] | ดินน้ำมัน
Building Set | (n.) [บิลดิ้งเซ็ต] | ชุดตัวต่อ
Magic Wand | (n.) [แมจิกวอนด์] | ไม้กายสิทธิ์
Action Set | (n.) [แอคชั่นเซ็ต] | ชุดของเล่น
Bouncy Ball | (n.) [บาวนซีบอลล์] | ลูกบอลกระดอน
Dinosaur Toy | (n.) [ไดโนเสาร์ทอย] | ของเล่นไดโนเสาร์
Electric Car | (n.) [อิเล็กทริกคาร์] | รถไฟฟ้า
Fishing Game | (n.) [ฟิชชิ่งเกม] | เกมตกปลา
Hand Puppet | (n.) [แฮนด์พัพเพ็ต] | หุ่นมือ
Magic Kit | (n.) [แมจิกคิท] | ชุดมายากล
Marionette | (n.) [แมริออเน็ต] | หุ่นเชิด
Playhouse | (n.) [เพลย์เฮาส์] | บ้านของเล่น
Slime | (n.) [สไลม์] | สไลม์
Toy Gun | (n.) [ทอยกัน] | ปืนของเล่น
Toy Robot | (n.) [ทอยโรบอท] | หุ่นยนต์ของเล่น
Toy Truck | (n.) [ทอยทรัค] | รถบรรทุกของเล่น
Water Gun | (n.) [วอเทอร์กัน] | ปืนฉีดน้ำ
Wooden Puzzle | (n.) [วูดเดนพัซเซิล] | ปริศนาไม้
Action Figure Set | (n.) [แอคชั่นฟิกเกอร์เซ็ต] | ชุดตุ๊กตาแอคชั่น
Art Set | (n.) [อาร์ตเซ็ต] | ชุดศิลปะ
Beach Ball | (n.) [บีชบอลล์] | ลูกบอลชายหาด
Ball Pit | (n.) [บอลพิท] | บ่อบอล
Bow and Arrow | (n.) [โบว์แอนด์แอร์โรว์] | ธนูและลูกศร
Construction Set | (n.) [คอนสตรัคชันเซ็ต] | ชุดก่อสร้าง
Foam Rocket | (n.) [โฟมร็อคเก็ต] | จรวดโฟม
Foosball | (n.) [ฟู้สบอว์] | โต๊ะฟุตบอล
Handheld Game | (n.) [แฮนด์เฮลดเกม] | เกมพกพา
Inflatable Toy | (n.) [อินเฟลทาเบิลทอย] | ของเล่นเป่าลม
Jigsaw Puzzle | (n.) [จิ๊กซอว์พัซเซิล] | จิ๊กซอว์
Magic Set | (n.) [แมจิกเซ็ต] | ชุดมายากล
Mechanical Toy | (n.) [เมคานิคอลทอย] | ของเล่นเครื่องกล
Plush Doll | (n.) [พลัชดอลล์] | ตุ๊กตาผ้าฝ้าย
Popup Toy | (n.) [ป๊อปอัพทอย] | ของเล่นป๊อปอัพ
Puzzle Cube | (n.) [พัซเซิลคิวบ์] | ลูกเต๋าปริศนา
Shape Sorter | (n.) [เชพซอเตอร์] | ของเล่นเรียงรูป
Toy Binoculars | (n.) [ทอยบิโนคูลาร์ส] | กล้องส่องทางไกลของเล่น
Toy Hammer | (n.) [ทอยแฮมเมอร์] | ค้อนของเล่น
Toy Telescope | (n.) [ทอยเทเลสโคป] | กล้องโทรทรรศน์ของเล่น
Vehicle Set | (n.) [วีฮิเคิลเซ็ต] | ชุดรถ
Water Table | (n.) [วอเทอร์เทเบิล] | โต๊ะน้ำ
Windup Toy | (n.) [วินด์อัพทอย] | ของเล่นหยอดกุญแจ
Wooden Train | (n.) [วูดเดนเทรน] | รถไฟไม้
YoYo Trick | (n.) [โยโย่ทริค] | เทคนิคโยโย่
Arcade Game | (n.) [อาร์เคดเกม] | เกมตู้
Balloon Animal | (n.) [บอลลูนแอนิมอล] | สัตว์บอลลูน
Bath Toy | (n.) [แบธทอย] | ของเล่นในอ่างน้ำ
Building Toy | (n.) [บิลดิ้งทอย] | ของเล่นต่อสร้าง
Chalk Set | (n.) [ชอล์กเซ็ต] | ชุดชอล์ก
Climbing Frame | (n.) [คลิมบิงเฟรม] | โครงปีนป่าย
Dollhouse | (n.) [ดอลล์เฮาส์] | บ้านตุ๊กตา
Educational Puzzle | (n.) [เอดูเคชันนัลพัซเซิล] | ปริศนาเพื่อการศึกษา
Finger Puppet | (n.) [ฟิงเกอร์พัพเพ็ต] | หุ่นมือ
Globe Toy | (n.) [โกลบทอย] | โลกของเล่น
Kids Camera | (n.) [คิดส์คาเมร่า] | กล้องของเด็ก
Magic Board | (n.) [แมจิกบอร์ด] | กระดานมายากล
Model Train | (n.) [โมเดลเทรน] | รถไฟโมเดล
Play Tent | (n.) [เพลย์เท้นท์] | เต็นท์ของเล่น
Rocket Toy | (n.) [ร็อคเก็ตทอย] | ของเล่นจรวด
Sand Toy | (n.) [แซนด์ทอย] | ของเล่นทราย
Science Kit | (n.) [ไซแอนซ์คิท] | ชุดทดลองวิทยาศาสตร์
Soft Toy | (n.) [ซอฟท์ทอย] | ของเล่นนุ่ม
Stacking Blocks | (n.) [สแต็คกิ้งบล็อกส์] | ตัวต่อเรียง
Teddy Bear | (n.) [เท็ดดีแบร์] | หมีเท็ดดี
Toy Animal | (n.) [ทอยแอนิมอล] | สัตว์ของเล่น
Toy Helicopter | (n.) [ทอยเฮลิคอปเตอร์] | เฮลิคอปเตอร์ของเล่น
Toy Instrument | (n.) [ทอยอินสตรูเมนต์] | เครื่องดนตรีของเล่น
Toy Puzzle | (n.) [ทอยพัซเซิล] | ปริศนาของเล่น
Toy Soldier | (n.) [ทอยโซลเจอร์] | ทหารของเล่น
Trampoline | (n.) [แทรมโพลีน] | กระโดดพื้น
Wooden Puzzle | (n.) [วูดเดนพัซเซิล] | ปริศนาไม้
Bouncing Ball | (n.) [บาวนซ์ซิ่งบอล] | ลูกบอลกระดอน
Cube Puzzle | (n.) [คิวบ์พัซเซิล] | ลูกเต๋าปริศนา
Outdoor Play Set | (n.) [เอาท์ดอร์เพลย์เซ็ต] | ชุดเล่นกลางแจ้ง
Toy | (n.) [ทอย] | ของเล่น
Absorb | (v.) [แอบซอร์บ] | ดูดซึม
Acid | (n.) [แอซิด] | กรด
Allergen | (n.) [แอลเลอร์เจน] | สารก่อภูมิแพ้
Antibiotic | (n.) [แอนติบิโอทิก] | ยาปฏิชีวนะ
Antioxidant | (n.) [แอนตี้ออกซิแดนต์] | สารต้านอนุมูลอิสระ
Appetite | (n.) [แอพพะไทท] | ความอยากอาหาร
Balanced Diet | (n.) [บาลานซ์ ดายเอต] | อาหารที่สมดุล
Biotin | (n.) [ไบโอติน] | ไบโอติน
Calcium | (n.) [แคลเซียม] | แคลเซียม
Carbohydrate | (n.) [คาร์โบไฮเดรต] | คาร์โบไฮเดรต
Cholesterol | (n.) [โคเลสเตอรอล] | คอเลสเตอรอล
Diet | (n.) [ไดเอต] | อาหาร, การควบคุมอาหาร
Digestion | (n.) [ไดเจสชัน] | การย่อยอาหาร
Enzyme | (n.) [เอนไซม์] | เอนไซม์
Fiber | (n.) [ไฟเบอร์] | ใยอาหาร
Folate | (n.) [โฟเลต] | โฟเลต
Glucose | (n.) [กลูโคส] | กลูโคส
Heart Rate | (n.) [ฮาร์ท เรท] | อัตราการเต้นของหัวใจ
Hemoglobin | (n.) [ฮีโมโกลบิน] | ฮีโมโกลบิน
Hydration | (n.) [ไฮเดรชัน] | การให้ความชุ่มชื้น
Immune System | (n.) [อิมมูน ซิสเต็ม] | ระบบภูมิคุ้มกัน
Iron | (n.) [ไอรอน] | ธาตุเหล็ก
Junk Food | (n.) [จังค์ ฟูด] | อาหารขยะ
Lactose | (n.) [แลคโตส] | แลคโตส
Lipid | (n.) [ลิพิด] | ไขมัน
Metabolism | (n.) [เมแทบอลิซึม] | การเผาผลาญ
Mineral | (n.) [มิเนอรัล] | แร่ธาตุ
Nutrient | (n.) [นิวทรีเอนท์] | สารอาหาร
Obesity | (n.) [โอเบซิตี้] | โรคอ้วน
Protein | (n.) [โปรตีน] | โปรตีน
Refined Sugar | (n.) [รีไฟน์ ซูการ์] | น้ำตาลที่ผ่านการกลั่น
Salt | (n.) [ซอลท์] | เกลือ
Sodium | (n.) [โซเดียม] | โซเดียม
Supplement | (n.) [ซัปพลีเมนท์] | อาหารเสริม
Vitamin | (n.) [ไวตามิน] | วิตามิน
Weight Loss | (n.) [เวท ลอส] | การลดน้ำหนัก
Zinc | (n.) [ซิงค์] | สังกะสี
Antacid | (n.) [แอนตาซิด] | ยาลดกรด
Antiseptic | (n.) [แอนตี้เซพติก] | ยาฆ่าเชื้อ
Aspirin | (n.) [แอสไพริน] | แอสไพริน
Bronchitis | (n.) [บรอนไคติส] | โรคหลอดลมอักเสบ
Calorie | (n.) [แคลอรี] | แคลอรี
Cholesterol | (n.) [โคเลสเตอรอล] | คอเลสเตอรอล
Cough Syrup | (n.) [คอฟ ซีรัป] | ยาแก้ไอ
Diabetes | (n.) [ไดแอบีตีส] | เบาหวาน
Dysentery | (n.) [ดิซเซนเทอรี] | โรคบิด
Electrolyte | (n.) [อิเล็กโทรไลท์] | อิเล็กโทรไลต์
Fever | (n.) [ฟีเวอร์] | ไข้
Fracture | (n.) [แฟรคเจอร์] | กระดูกหัก
Hygiene | (n.) [ไฮจีน] | สุขอนามัย
Insulin | (n.) [อินซูลิน] | อินซูลิน
Laxative | (n.) [ลักษีเทฟ] | ยาระบาย
Medication | (n.) [เมดิเเคชั่น] | ยา
Nausea | (n.) [นอเซีย] | อาการคลื่นไส้
